12:50:45.276 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:50:45.338 CONFIG | Reading config\settings_auction.xml
12:50:45.338 CONFIG | Reading config\topology\england.xml
12:50:45.354 CONFIG | Reading tournament\MyEvent\agents.xml
12:51:16.123 CONFIG | total cost: 9872.0
12:51:16.669 CONFIG | Done in 35000 iterations; final solution cost = 11034.5
12:51:25.090 CONFIG | Wrote tournament\MyEvent\auction-MyAgent-Random.xml
12:51:25.355 INFO | LogistPlatform finished successfully!
12:51:25.355 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Naive-dummy.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Naive dummy
12:51:25.449 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:51:25.512 CONFIG | Reading config\settings_auction.xml
12:51:25.527 CONFIG | Reading config\topology\england.xml
12:51:25.527 CONFIG | Reading tournament\MyEvent\agents.xml
12:51:31.129 CONFIG | Done in 10000 iterations; final solution cost = 16290.0
12:51:35.669 CONFIG | Wrote tournament\MyEvent\auction-Naive-dummy.xml
12:51:35.949 INFO | LogistPlatform finished successfully!
12:51:35.949 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Naive-MyAgent.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Naive MyAgent
12:51:36.028 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:51:36.075 CONFIG | Reading config\settings_auction.xml
12:51:36.091 CONFIG | Reading config\topology\england.xml
12:51:36.106 CONFIG | Reading tournament\MyEvent\agents.xml
12:52:02.430 CONFIG | total cost: 10157.0
12:53:04.848 CONFIG | Wrote tournament\MyEvent\auction-Naive-MyAgent.xml
12:53:05.067 INFO | LogistPlatform finished successfully!
12:53:05.067 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Naive-Opponent.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Naive Opponent
12:53:05.146 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:53:05.208 CONFIG | Reading config\settings_auction.xml
12:53:05.224 CONFIG | Reading config\topology\england.xml
12:53:05.239 CONFIG | Reading tournament\MyEvent\agents.xml
12:53:09.280 CONFIG | lowest = 0.0,  estimate * beta = -7014.406154462756 * 0.85
12:53:11.105 CONFIG | lowest = 0.0,  estimate * beta = -9377.106050776278 * 0.85
12:53:17.907 CONFIG | lowest = 0.0,  estimate * beta = -13371.483709904098 * 0.85
12:53:35.966 CONFIG | total cost: 9395.0
12:53:43.563 CONFIG | Wrote tournament\MyEvent\auction-Naive-Opponent.xml
